,Car Name,Auction Rating,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission,Engine Unit,Price (PKR)
0,BMW 7 Series 5th (F01) Generation 2013 ActiveHybrid 7L for Sale,,2013,52000,Hybrid,3000.0,Automatic,cc,
1,BMW X5  2012 xDrive50i for Sale,8.0,2012,102148,Petrol,4400.0,Automatic,cc,16000000.0
2,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,48000,Hybrid,2000.0,Automatic,cc,34500000.0
3,BMW 2 Series  2021 218i Gran Coupe for Sale,9.3,2021,68064,Petrol,1500.0,Manual,cc,13500000.0
4,BMW X1  2017 sDrive18i A/T for Sale,8.6,2017,138928,Petrol,1500.0,Automatic,cc,8200000.0
5,BMW X1  2017 sDrive18i A/T for Sale,8.9,2017,32877,Petrol,1500.0,Automatic,cc,8200000.0
6,BMW X5  2008 xDrive30d for Sale,6.5,2008,129697,Diesel,3000.0,Automatic,cc,5000000.0
7,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3000,Electric,105.0,Automatic,kWh,
8,BMW X5  2017 xDrive40e for Sale,8.1,2017,83047,Hybrid,2000.0,Automatic,cc,14000000.0
9,BMW 7 Series 4th (E65) Generation 2002 735i for Sale,6.7,2002,149268,Petrol,3600.0,Automatic,cc,4000000.0
10,BMW X5  2022 xDrive45e for Sale,,2022,54000,PHEV,3000.0,Automatic,cc,43500000.0
11,BMW i5  2023 eDrive40 M Sport for Sale,,2023,18000,Electric,810.0,Automatic,kWh,24900000.000000004
12,BMW 7 Series 5th (F01) Generation 2010 750Li for Sale,,2010,97000,Petrol,4400.0,Automatic,cc,9650000.0
13,BMW 5 Series 6th (F10) Generation 2013 520i for Sale,,2013,62000,Petrol,2000.0,Automatic,cc,9700000.0
14,BMW X5  2012 xDrive50i for Sale,,2012,71200,Petrol,4400.0,Automatic,cc,17900000.0
15,BMW X1  2017 sDrive18i A/T for Sale,,2017,120000,Petrol,1500.0,Automatic,cc,6200000.0
16,BMW X1  2017 sDrive18i M/T for Sale,,2017,750000,Petrol,1500.0,Manual,cc,6399000.0
17,BMW 7 Series 5th (F01) Generation 2010 730d for Sale,,2010,132000,Diesel,3000.0,Automatic,cc,10100000.0
18,BMW 3 Series 4th (E46) Generation 2006 320i for Sale,,2006,150000,Petrol,2000.0,Automatic,cc,3295000.0000000005
19,BMW 7 Series 5th (F01) Generation 2009 730d for Sale,,2009,105000,Diesel,3000.0,Automatic,cc,8500000.0
20,BMW 3 Series 4th (E46) Generation 2003 320i for Sale,,2003,58000,Petrol,2000.0,Automatic,cc,3250000.0
21,BMW 7 Series  2006  for Sale,,2006,96000,Petrol,4000.0,Automatic,cc,4800000.0
22,BMW 3 Series  1996  for Sale,,1996,200000,Petrol,1800.0,Manual,cc,2100000.0
23,BMW i4  2022 eDrive40 for Sale,,2022,41500,Electric,84.0,Automatic,kWh,20900000.0
24,BMW X1  2017 sDrive18i A/T for Sale,8.7,2017,89293,Petrol,1500.0,Automatic,cc,7200000.0
25,BMW 7 Series 5th (F01) Generation 2010 730d for Sale,,2010,132000,Diesel,3000.0,Automatic,cc,10100000.0
26,BMW 3 Series 4th (E46) Generation 2006 320i for Sale,,2006,150000,Petrol,2000.0,Automatic,cc,3295000.0000000005
27,BMW 7 Series 5th (F01) Generation 2009 730d for Sale,,2009,105000,Diesel,3000.0,Automatic,cc,8500000.0
28,BMW i4  2022 eDrive40 for Sale,,2022,41500,Electric,84.0,Automatic,kWh,20900000.0
29,BMW X1  2017 sDrive18i A/T for Sale,8.7,2017,89293,Petrol,1500.0,Automatic,cc,7200000.0
30,BMW 5 Series 5th (E60) Generation 2006 525i for Sale,8.0,2006,89383,Petrol,2500.0,Automatic,cc,4000000.0
31,BMW 3 Series  2018 318i for Sale,8.3,2018,109245,Petrol,1600.0,Automatic,cc,9000000.0
32,BMW X1  2018 sDrive18i A/T for Sale,,2018,150000,Petrol,1500.0,Automatic,cc,9300000.0
33,BMW X3  2008  for Sale,7.3,2008,93048,Petrol,2500.0,Automatic,cc,4000000.0
34,BMW 2 Series  2020 218i Gran Coupe for Sale,9.3,2020,25441,Petrol,1500.0,Manual,cc,15000000.0
35,BMW 7 Series  2014 750i for Sale,,2014,48000,Petrol,4400.0,Automatic,cc,
36,BMW X1  2017 sDrive18i A/T for Sale,9.1,2017,30005,Petrol,1500.0,Automatic,cc,9000000.0
37,BMW 5 Series 5th (E60) Generation 2004 525i for Sale,,2004,150000,Petrol,2500.0,Automatic,cc,2800000.0
38,BMW 7 Series 5th (F01) Generation 2009 740i for Sale,,2009,84000,Petrol,3000.0,Automatic,cc,8450000.0
39,BMW X1  2017 sDrive18i A/T for Sale,,2017,125000,Petrol,1500.0,Automatic,cc,7500000.0
40,BMW X1  2017 sDrive18i A/T for Sale,,2017,130000,Petrol,1500.0,Automatic,cc,5600000.0
41,BMW 3 Series 4th (E46) Generation 2000 316i for Sale,,2000,155000,Petrol,1800.0,Manual,cc,2200000.0
42,BMW i4  2026 eDrive35 for Sale,,2026,1500,Electric,67.0,Automatic,kWh,25500000.0
43,BMW X5  2014  for Sale,7.6,2014,83980,Diesel,2000.0,Automatic,cc,16000000.0
44,BMW 7 Series 4th (E65) Generation 2004 745Li for Sale,,2004,174580,Petrol,4400.0,Automatic,cc,3500000.0
45,BMW 3 Series  2013 316i for Sale,,2013,69000,Petrol,1600.0,Automatic,cc,9900000.0
46,BMW X1  2017 sDrive18i A/T for Sale,,2017,150000,Petrol,1500.0,Automatic,cc,
47,BMW i5  2024 eDrive40 M Sport for Sale,,2024,6100,Electric,81.0,Automatic,kWh,25000000.0
48,BMW i5  2023 eDrive40 M Sport for Sale,,2023,4000,Electric,8120.0,Automatic,kWh,30000000.0
49,BMW 3 Series 4th (E46) Generation 2000 316i for Sale,,2000,155000,Petrol,1800.0,Manual,cc,2100000.0
50,BMW i5  2023 eDrive40 for Sale,,2023,6000,Electric,81.0,Automatic,kWh,25299999.999999996
51,BMW iX  2022 xDrive40 for Sale,9.7,2022,24936,Electric,710.0,Automatic,kWh,27500000.0
52,BMW 7 Series 4th (E65) Generation 2007 745i for Sale,,2007,69000,Petrol,4400.0,Automatic,cc,4450000.0
53,BMW X1  2017 sDrive18i A/T for Sale,8.7,2017,86493,Petrol,1500.0,Automatic,cc,6900000.0
54,BMW 3 Series  2015 316i for Sale,,2015,92000,Petrol,1600.0,Automatic,cc,7250000.0
55,BMW i4  2026 eDrive35 for Sale,,2026,1500,Electric,67.0,Automatic,kWh,25500000.0
56,BMW X5  2014  for Sale,7.6,2014,83980,Diesel,2000.0,Automatic,cc,16000000.0
57,BMW X1  2017 sDrive18i A/T for Sale,,2017,150000,Petrol,1500.0,Automatic,cc,
58,BMW i5  2023 eDrive40 M Sport for Sale,,2023,4000,Electric,8120.0,Automatic,kWh,30000000.0
59,BMW i5  2023 eDrive40 for Sale,,2023,6000,Electric,81.0,Automatic,kWh,25299999.999999996
60,BMW iX  2022 xDrive40 for Sale,9.7,2022,24936,Electric,710.0,Automatic,kWh,27500000.0
61,BMW X1  2017 sDrive18i A/T for Sale,8.7,2017,86493,Petrol,1500.0,Automatic,cc,6900000.0
62,BMW 3 Series  2015 316i for Sale,,2015,92000,Petrol,1600.0,Automatic,cc,7250000.0
63,BMW 7 Series 4th (E65) Generation 2005 750i for Sale,,2005,125000,Petrol,4800.0,Automatic,cc,3650000.0
64,BMW 7 Series  2004 745Li for Sale,,2004,290790,Petrol,4500.0,Automatic,cc,5200000.0
65,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3399,Electric,105.7,Automatic,kWh,62500000.0
66,BMW i4  2025 eDrive35 for Sale,,2025,3300,Electric,67.0,Automatic,kWh,24500000.0
67,BMW X1  2017 sDrive18i A/T for Sale,,2017,60000,Petrol,1500.0,Automatic,cc,6900000.0
68,BMW X1  2017 sDrive18i A/T for Sale,,2017,150000,Petrol,1500.0,Automatic,cc,6375000.0
69,BMW 7 Series 5th (F01) Generation 2013 ActiveHybrid 7L for Sale,,2013,87000,Hybrid,3000.0,Automatic,cc,17000000.0
70,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3400,Electric,1057.0,Automatic,kWh,62500000.0
